category,total_orders,total_items,total_revenue,total_freight,freight_ratio,delivery_orders,late_orders,avg_delivery_delay_days,late_delivery_rate,reviewed_orders,avg_review_score,negative_reviews,negative_review_rate,reliable_review_volume,category_segment
food_drink,227,278,15179.48,4507.99,0.29697921140908645,221.0,14.0,-10.70121281632311,6.334841628959276,226.0,4.385964912280702,13.0,5.752212389380531,True,Lower Revenue + High Experience
furniture_bedroom,95,109,20028.78,4632.23,0.23127868996514014,90.0,7.0,-12.645431327160493,7.777777777777778,95.0,4.135416666666667,15.0,15.789473684210526,False,Insufficient Review Volume
furniture_decor,6449,8334,729762.49,172749.3,0.23671989498939577,6307.0,535.0,-11.654866122811809,8.48263833835421,6398.0,4.006039956636209,1081.0,16.895904970303217,True,High Revenue + Lower Experience
furniture_living_room,422,503,68916.56,17968.170000000002,0.26072354743185094,414.0,35.0,-11.051174069601002,8.454106280193237,417.0,4.0285714285714285,65.0,15.587529976019185,True,Lower Revenue + Lower Experience
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,0.37326697313236024,37.0,5.0,-6.47840746996997,13.513513513513514,38.0,3.8157894736842106,8.0,21.052631578947366,False,Insufficient Review Volume
garden_tools,3518,4347,485256.46,98962.75,0.20393906760149055,3448.0,274.0,-11.16489539024233,7.9466357308584685,3496.0,4.134341129492299,473.0,13.529748283752859,True,High Revenue + High Experience
health_beauty,8836,9670,1258681.34,182566.73,0.14504602888607215,8649.0,776.0,-11.28170791795669,8.972135506995029,8771.0,4.182188987083617,1118.0,12.746551134420248,True,High Revenue + High Experience
home_appliances,764,771,80171.53,14818.9,0.1848399300849067,747.0,50.0,-11.894803504140016,6.693440428380187,761.0,4.166458072590738,97.0,12.746386333771353,True,Lower Revenue + High Experience
home_appliances_2,234,238,113317.74,10600.18,0.09354387053606963,227.0,16.0,-11.677609112416382,7.048458149779736,232.0,4.136752136752137,30.0,12.931034482758621,True,High Revenue + High Experience
home_comfort_2,24,30,760.27,410.31,0.5396898470280296,24.0,4.0,-8.04352092978395,16.666666666666664,23.0,3.8260869565217392,5.0,21.73913043478261,False,Insufficient Review Volume
home_confort,397,434,58572.04,8501.23,0.14514143608452088,392.0,41.0,-9.064910950491308,10.459183673469388,395.0,3.85929648241206,77.0,19.49367088607595,True,Lower Revenue + Lower Experience
home_construction,490,604,83088.12,13832.24,0.16647674781906246,483.0,39.0,-10.772914773598652,8.074534161490684,487.0,3.9692622950819674,86.0,17.659137577002053,True,Lower Revenue + Lower Experience
housewares,5884,6964,632248.66,146149.11,0.23115764294383792,5743.0,399.0,-11.395984683044093,6.947588368448546,5843.0,4.142369991474851,773.0,13.229505391066231,True,High Revenue + High Experience
industry_commerce_and_business,235,268,39669.61,7884.68,0.1987586971487746,231.0,19.0,-11.54937715448132,8.225108225108226,233.0,4.1923076923076925,26.0,11.158798283261802,True,Lower Revenue + High Experience
kitchen_dining_laundry_garden_furniture,248,281,46328.37,11999.43,0.25900824915705,241.0,11.0,-11.586929556631318,4.564315352697095,246.0,4.044534412955466,34.0,13.821138211382115,True,Lower Revenue + Lower Experience
la_cuisine,13,14,2054.99,333.55,0.1623122253636271,13.0,0.0,-15.714803240740743,0.0,12.0,4.25,2.0,16.666666666666664,False,Insufficient Review Volume
luggage_accessories,1034,1092,140429.98,30445.23,0.21680007360251705,1019.0,56.0,-11.896744925126304,5.49558390578999,1030.0,4.331067961165049,95.0,9.223300970873787,True,High Revenue + High Experience
market_place,280,311,28378.47,5456.06,0.19226054117787184,274.0,13.0,-13.280353642876452,4.744525547445255,278.0,4.028776978417266,38.0,13.66906474820144,True,Lower Revenue + Lower Experience
music,38,38,6034.35,690.51,0.11442988888612692,38.0,3.0,-13.615141020955164,7.894736842105263,38.0,4.2105263157894735,4.0,10.526315789473683,False,Insufficient Review Volume
musical_instruments,628,680,191498.88,18638.49,0.09732949874171588,611.0,54.0,-10.781762005970783,8.8379705400982,622.0,4.18298555377207,82.0,13.183279742765272,True,High Revenue + High Experience
office_furniture,1273,1691,273960.7,68571.95,0.2502984917179727,1254.0,115.0,-11.134130126188788,9.170653907496012,1263.0,3.617507886435331,288.0,22.802850356294538,True,High Revenue + Lower Experience
party_supplies,39,43,4485.18,827.97,0.18460128690487337,38.0,1.0,-14.005991410818712,2.631578947368421,39.0,4.0,7.0,17.94871794871795,False,Insufficient Review Volume
pc_gamer,8,9,1545.95,133.57,0.08639994825188395,7.0,0.0,-10.073654100529101,0.0,8.0,3.125,3.0,37.5,False,Insufficient Review Volume
perfumery,3162,3419,399124.87,54213.84,0.13583177615566777,3088.0,228.0,-11.693486225052773,7.383419689119171,3150.0,4.1984202211690365,425.0,13.492063492063492,True,High Revenue + High Experience
pet_shop,1710,1947,214315.41,39561.24,0.1845935390273616,1688.0,106.0,-11.659985614687555,6.279620853080568,1701.0,4.238990017615972,198.0,11.64021164021164,True,High Revenue + High Experience
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.5299999999997,309.76,0.07805409055746082,13.0,1.0,-9.04705039173789,7.6923076923076925,14.0,3.4285714285714284,4.0,28.57142857142857,False,Insufficient Review Volume
security_and_services,2,2,283.28999999999996,41.22,0.14550460658688977,2.0,0.0,-16.27826388888889,0.0,2.0,2.5,1.0,50.0,False,Insufficient Review Volume
signaling_and_security,140,199,21509.23,6507.820000000001,0.3025594128660115,138.0,8.0,-11.007135584406871,5.797101449275362,138.0,4.108695652173913,16.0,11.594202898550725,True,Lower Revenue + High Experience
small_appliances,630,679,190648.58,16020.25,0.08403026133213266,609.0,38.0,-13.184509612753146,6.239737274220033,624.0,4.173566878980892,87.0,13.942307692307693,True,High Revenue + High Experience
small_appliances_home_oven_and_coffee,75,76,47445.71,2747.86,0.05791587901203291,72.0,5.0,-10.817515110596709,6.944444444444445,75.0,4.293333333333333,8.0,10.666666666666668,False,Insufficient Review Volume
sports_leisure,7720,8641,988048.97,168607.51,0.1706469164175132,7530.0,584.0,-11.168420893586148,7.755644090305445,7669.0,4.168242455640461,1003.0,13.078628243578041,True,High Revenue + High Experience
stationery,2311,2517,230943.23,46798.48,0.20264062297907587,2264.0,176.0,-11.348995156679427,7.773851590106007,2295.0,4.2441355343179845,265.0,11.546840958605664,True,High Revenue + High Experience
tablets_printing_image,79,83,7528.41,1226.2,0.1628763576904021,79.0,5.0,-12.411658169245195,6.329113924050633,77.0,4.1558441558441555,10.0,12.987012987012985,False,Insufficient Review Volume
telephony,4199,4545,323667.52999999997,71215.79,0.22002760054429926,4093.0,349.0,-10.561554228764559,8.526752992914732,4168.0,4.004073807812126,645.0,15.475047984644913,True,High Revenue + Lower Experience
toys,3886,4117,483946.6,77425.95,0.15998862271167935,3804.0,286.0,-11.381300558987617,7.518401682439538,3853.0,4.188293188293188,490.0,12.717363093693226,True,High Revenue + High Experience
watches_gifts,5624,5991,1205005.68,100535.93,0.08343191378151844,5493.0,468.0,-11.092276809794958,8.519934462042599,5576.0,4.065699964196205,849.0,15.225968436154949,True,High Revenue + Lower Experience
Unclassified / Missing Category,1451,1603,179535.28,28169.81,0.1569040357973096,,,,,,,,,False,Unclassified / Missing Category
